timestamp,quantity,price,fee,amount,side
2018-07-02 06:23:58,0.08,7066000,0,565280,1
2018-07-02 06:27:48,0.08,7061000,0,564880,1
2018-07-02 06:27:48,0.08,7061000,0,564880,1
2018-07-02 06:27:49,0.08,7061000,0,564880,1
2018-07-02 06:27:52,0.0157,7060000,0,110842,1
2018-07-02 06:28:38,0.08,7065000,0,-565200,0
2018-07-02 06:28:42,0.004,7067000,0,-28268,0
2018-07-02 06:29:54,0.0041,7070000,0,-28987,0
2018-07-02 06:30:39,0.019,7071000,0,134349,1
2018-07-02 06:34:04,0.067,7069000,0,-473623,0
2018-07-02 06:36:44,0.2158,7078000,0,-1527432,0
2018-07-02 06:36:44,0.028,7078000,0,-198184,0
2018-07-02 06:36:48,0.021,7079000,0,-148659,0
2018-07-02 06:39:07,0.838,7083000,0,5935554,1
2018-07-02 09:01:23,0.08,7077000,0,-566160,0
2018-07-02 09:02:35,0.0087,7080000,0,61596,1
2018-07-02 09:02:42,0.0713,7075000,0,504448,1
2018-07-02 09:06:28,0.0001,7056000,0,-706,0
2018-07-02 09:10:23,0.283,7057000,0,-1997131,0
2018-07-02 09:13:51,0.021,7063000,0,-148323,0
2018-07-02 09:14:14,0.0034,7067000,0,-24028,0
2018-07-02 09:14:18,0.0282,7072000,0,-199430,0
2018-07-02 09:14:56,0.0013,7072000,0,-9194,0
2018-07-02 09:17:09,0.0819,7070000,0,-579033,0
2018-07-02 09:17:42,0.29592083,7073000,0,-2093048,0
2018-07-02 09:17:42,0.07997917,7073000,0,-565693,0
2018-07-02 09:18:33,0.03872083,7076000,0,-273989,0
2018-07-02 09:18:34,0.00407917,7076000,0,-28864,0
2018-07-02 09:18:41,0.07997917,7076000,0,-565933,0
2018-07-02 09:18:41,2.083e-05,7076000,0,-147,0
2018-07-02 09:22:10,0.0038,7064000,0,26843,1
2018-07-02 09:25:37,0.361,7064000,0,-2550104,0
2018-07-02 09:26:27,0.8065,7052000,0,5687438,1
2018-07-02 09:27:37,0.0047,7047000,0,33121,1
2018-07-02 09:27:37,0.01,7047000,0,70470,1
2018-07-02 09:27:37,0.005,7047000,0,35235,1
2018-07-02 09:27:41,0.0282,7046000,0,198697,1
2018-07-02 09:31:28,0.0078,7046000,0,54959,1
2018-07-02 09:31:28,0.01,7046000,0,70460,1
2018-07-02 09:34:39,0.0047,7044000,0,-33107,0
2018-07-02 09:35:12,0.004,7045000,0,-28180,0
2018-07-02 09:35:16,0.02,7045000,0,-140900,0
2018-07-02 09:35:20,0.08,7047000,0,-563760,0
2018-07-02 09:35:20,0.08,7047000,0,-563760,0
2018-07-02 09:35:21,0.08,7047000,0,-563760,0
2018-07-02 09:41:14,0.0039,7044000,0,-27472,0
2018-07-02 09:41:14,0.08,7044000,0,-563520,0
2018-07-02 09:42:57,0.022,7038000,0,-154836,0
2018-07-02 09:46:48,0.7772,7029000,0,5462939,1
2018-07-02 09:53:17,1.0,7042000,0,-7042000,0
2018-07-02 09:57:48,0.0358,7045000,0,252211,1
2018-07-02 10:11:23,0.804,7049000,0,-5667396,0
2018-07-02 10:11:27,0.0028,7042000,0,-19718,0
2018-07-02 10:11:31,0.0028,7050000,0,-19740,0
2018-07-02 10:11:31,0.08,7050000,0,-564000,0
2018-07-02 10:11:35,0.08,7050000,0,-564000,0
2018-07-02 10:11:39,0.08,7050000,0,-564000,0
2018-07-02 10:34:27,0.0354,7047000,0,249464,1
2018-07-02 10:34:27,0.0301,7047000,0,212115,1
2018-07-02 10:35:58,0.021,7053000,0,148113,1
2018-07-02 10:39:54,0.004,7053000,0,28212,1
2018-07-02 10:41:12,0.0625,7047000,0,440438,1
2018-07-02 10:41:38,0.04,7051000,0,282040,1
2018-07-02 10:41:43,0.0924,7044000,0,650866,1
2018-07-02 10:41:54,0.0479,7044000,0,337408,1
2018-07-02 10:41:54,0.0798,7044000,0,562111,1
2018-07-02 10:41:54,0.42589438,7044000,0,3000000,1
2018-07-02 10:42:58,1.0,7038000,0,7038000,1
2018-07-02 10:42:58,0.0366,7038000,0,257591,1
2018-07-02 10:43:55,0.1382,7036000,0,972375,1
2018-07-02 10:47:41,0.1721,7048000,0,-1212961,0
2018-07-02 10:50:47,0.0999,7044000,0,-703696,0
2018-07-02 11:01:38,0.08,7046000,0,-563680,0
